product_name,review,price,discount_price,date
Soldador Inversor 60hz 110v Portátil Estable Grado Industria,4.6,"1,438",891,2024/02/04
Autoestéreo 2 Din Mirrorlink Pantalla Táctil 7 Inch Y Cámara,4.4,"1,355",501,2024/02/04
Oso Peluche Jumbo 2 Metros Grande Gigante + Envio + 2regalos,None,"1,788","1,698",2024/02/04
Incubadora 48 Huevos Pollos Y Aves Con Giro Automatico Hhd,None,"1,599","1,407",2024/02/04
Xiaomi Redmi 12 Dual Sim 256gb Polar Silver 8gb Ram,None,"3,550","2,982",2024/02/04
Colchón Individual Resorte Y Memory Foam - Expansión Rápida Color Blanco,5.0,"2,999","1,797",2024/02/04
Bocinas Subwoofer Amplificado Bocinas Para Auto 10 Pulgadas,None,"1,712","1,147",2024/02/04
Asistente Virtual Amazon Echo Dot 5ta Gen Azul,4.8,875,735,2024/02/04
Televisor Hisense 50 4k Googletv Con Dolby Vision 50a7k,4.9,"8,999","5,999",2024/02/04
Autoestéreo 2din Mirrorlink Bluetooth Táctil 7 Inch Y Cámara,4.4,938,469,2024/02/04
Realme 11 Pro 5g 8g - 256g Blanco Pantalla Oled 120hz Dimensity 7050 Octa-core Cámara Ois De 100mp Batería 5000mah Cargador 67w,None,"7,806","5,698",2024/02/04
"Laptop Asus E510 15,6'' Intel Celeron 8gb Ram + 128gb Azul Color Peacock blue",None,"6,999","4,799",2024/02/04
Bafle Bocina Recargable 15 Pulgadas Kaiser Tripie Microfono,4.6,"2,999","1,739",2024/02/04
Vanir Audífonos In-ear Inalámbricos Con Cancelación De Ruido,4.2,291,189,2024/02/04
Báscula comercial digital Just Home MKZ-BAS-ACS209 40kg 110V/220V blanco 34.5 cm x 24 cm,4.6,445,422,2024/02/04
Parrilla/estufa Mesa De Gas De 4 Quemadores Envio Gratis Color Negro,None,679,669,2024/02/04
Apple iPhone 15 Pro Max (256 GB) - Titanio Blanco,None,"30,422","25,555",2024/02/04
U Bárbara Pijama Quirúrgica Para Hombre Jogger Uniforme ,None,999,459,2024/02/04
Tenis Advantage adidas Court Ig2516 adidas,5.0,999,589,2024/02/04
Desbrozadora Desmalezadora Gasolina 52 CC 2.5 HP Diseño Ergonomico Capacidad Tanque de Combustible 1.2 Litros Cuchilla 3 Puntas Mango con Gatillo de Seguridad Arranque con Cordón Aceite a 2 Tiempos,4.4,"2,399","1,369",2024/02/04
Silla Oficina Escritorio Ergonomica Mesh Giratoria Secretarial Ajustable Apoyabrazos Moviles Femmto,4.3,"2,699","1,160",2024/02/04
Xiaomi Pocophone Poco X6 Pro 5G Dual SIM 256 GB amarillo 8 GB RAM,None,"9,099","5,543",2024/02/04
Tira De Luces Led Rgb 30m Bluetooth App Control Música Ritmo,4.7,319,226,2024/02/04
Smart TV Pantalla 32 Pulgadas Weyon Android TV LED HD 32WDSNMX 110V/240V,None,"4,305","2,539",2024/02/04
Mesa Portafolio Plegable 180cm Resistente Exterior Jardin Color Blanco,4.6,"1,999","1,099",2024/02/04
Paco Rabanne 1 Million Eau de toilette 200 ml para  hombre,None,"1,600",592,2024/02/04
Mesa Portafolio Plegable 180cm Resistente Exterior Jardin Color Blanco,None,"1,999","1,099",2024/02/04
Paco Rabanne 1 Million Eau de toilette 200 ml para  hombre,4.5,"1,600",592,2024/02/04
Apple iPhone 14 (128 Gb) - Morado Color Violeta,None,"15,342","12,888",2024/02/04
Suplemento en polvo Vitatú  Suplemento Alimenticio Vitatu Myo Y D-chiro Inositol sabor n/a en paquete de 225g,None,"1,098","1,043",2024/02/04
Escoge Tu Levi's® 505® Hombre Regular Fit Jeans,4.6,999,499,2024/02/04
Smart Tv Hisense Full Hd 40 Pulgadas Con Roku H4 Serie,None,"4,436","3,549",2024/02/04
Silla De Oficina Escritorio Gamer Reclinable Ergonómica Pro,4.8,"1,899","1,538",2024/02/04
"Maleta Swiss Navy® Lema, Blanda Mediana 24 Inch Expandible Color Negro",None,"1,549","1,403",2024/02/04
Xiaomi Pocophone Poco M5s Dual SIM 128 GB azul 4 GB RAM,4.7,"2,542","2,311",2024/02/04
Ventilador Industrial 3 En 1 De Pie Pared Piso Casa Oficina Diámetro 45 cm,4.4,"1,398",699,2024/02/04
Monitor Samsung Lf27t350fhlxzx De 27'' Voltaje 100 V - 240 V Color Negro,None,"4,799","2,599",2024/02/04
2nlf® Cámara De Seguridad Exterior Wifi 5g 1080p Con Led,None,650,296,2024/02/04
Kit Ácido Hialurónico Serum+crema Día+crema Ojos+uv Defender,None,"1,152",762,2024/02/04
Control Xbox Wireless Electric Volt Color Verde,None,"1,486","1,027",2024/02/04
 Moto G13 Dual SIM 128 GB gris oxford 4 GB RAM,4.6,"2,299","2,046",2024/02/04
Zapatos De Seguridad De Fibra Kevlar Acero Ligero Pugood V8,None,710,398,2024/02/04
1hora Mini Bocina Portátil Bluetooth Inalámbrica Altavoz Sd,4.7,259,148,2024/02/04
6 Almohadas Premium 4 + 2 Cojín Multiusos 40 X 30 Cooling,None,"1,349",849,2024/02/04
Bocinas Jbl De 6.5  Vías Stage1621 Para Un Gran Sonido Color Negro,None,899,599,2024/02/04
Set 5 Mochila Bolsas Escolar Estudiante Lapicera Tote Lona,4.4,439,197,2024/02/04
Apple iPhone 15 Plus (128 GB) - Negro,5.0,"29,628","17,531",2024/02/04
Televisor Daewoo Daw32r 32 Smart Roku Hd,None,"3,479","2,783",2024/02/04
Colchon De Aire Presion Alterna Antiescaras Drive Envio Grat,None,789,789,2024/02/04
100 Plumones Doble Punta Marcadores Punta Pincel 100 Color Diferentes Con Estuche De Tela,None,199,163,2024/02/04
Colchoneta Topper Atma Smooth Top Matrimonial Memory Foam 135x190,None,"2,799","1,199",2024/02/04
Videojuego Super Smash Bros Ultimate Nintendo Switch B +12,4.9,"1,392",949,2024/02/04
Celular Poco C65 256gb 8gb Black Color Negro,None,"2,940","2,469",2024/02/04
Olla Express Ekco Clásica De Aluminio 8 Litros Color Plata Color Plateado,None,"1,699","1,205",2024/02/04
Rotomartillo Cincelador Perforador Sds Industrial 1600w,4.5,"2,088","1,169",2024/02/04
Smart Tv Pantalla 50'' Tcl 50q650g Google Tv Qled,None,"9,599","7,399",2024/02/04
Bicicleta fija Centurfit MKZ-BICSPIN11BLA para spinning color blanco y gris,None,"3,599","2,999",2024/02/04
Colchón Matrimonial Ortopédico Resortes 190*135cm,4.7,"3,699","2,811",2024/02/04
Xiaomi Pocophone Poco M5 (5 Mpx) Dual SIM 128 GB green 6 GB RAM,None,"3,496","2,098",2024/02/04
Mesa Plegable 1.80 Mts Portatil Portafolio Eventos Jardin,4.6,859,839,2024/02/04
Mini Soldadoras Maquina Soldar Inverter Portatil Inversores,None,"1,402",897,2024/02/04
Tenis adidas Grand Court Base 2.0 Casual Mujer,None,"1,399","1,133",2024/02/04
Silla Gamer Gaming Ergonómica Reclinable ,None,"4,179","1,789",2024/02/04
2pcs Cámara De Seguridad Hd Wifi De  Visión Nocturna Alarma,None,"1,099",527,2024/02/04
Xiaomi Pocophone Poco X6 5G Dual SIM 256 GB blanco 12 GB RAM,None,"8,999","5,299",2024/02/04
